Ind_Ext,Force_Ext,Ind_Ret,Force_Ret,Ind_Away,Force_Away,Ind_Ext2,Force_Ext2,IndentXWave,IndentFitWave
-1.02E-06,-1.24E-09,-3.95E-08,-2.86E-09,-1.14E-06,6.20E-09,,,-1.02E-06,0
-1.02E-06,-1.29E-09,-4.05E-08,-2.87E-09,-1.14E-06,6.25E-09,,,-1.02E-06,0
-1.02E-06,-1.33E-09,-4.15E-08,-2.57E-09,-1.14E-06,6.49E-09,,,-1.02E-06,0
-1.02E-06,-1.00E-09,-4.25E-08,-2.40E-09,-1.14E-06,6.05E-09,,,-1.02E-06,0
-1.02E-06,-8.75E-10,-4.35E-08,-2.43E-09,-1.14E-06,5.82E-09,,,-1.02E-06,0
-1.02E-06,-8.85E-10,-4.45E-08,-2.70E-09,-1.14E-06,5.89E-09,,,-1.02E-06,0
-1.01E-06,-5.61E-10,-4.55E-08,-3.05E-09,-1.14E-06,5.95E-09,,,-1.01E-06,0
-1.01E-06,-5.10E-10,-4.65E-08,-2.76E-09,-1.14E-06,6.01E-09,,,-1.01E-06,0
-1.01E-06,-5.05E-10,-4.75E-08,-2.49E-09,-1.14E-06,6.00E-09,,,-1.01E-06,0
-1.01E-06,-7.39E-10,-4.85E-08,-2.49E-09,-1.14E-06,5.92E-09,,,-1.01E-06,0
-1.01E-06,-8.66E-10,-4.95E-08,-2.03E-09,-1.14E-06,5.98E-09,,,-1.01E-06,0
-1.01E-06,-9.25E-10,-5.05E-08,-1.87E-09,-1.14E-06,5.84E-09,,,-1.01E-06,0
-1.01E-06,-9.81E-10,-5.15E-08,-1.89E-09,-1.14E-06,5.62E-09,,,-1.01E-06,0
-1.01E-06,-9.18E-10,-5.25E-08,-2.26E-09,-1.14E-06,5.67E-09,,,-1.01E-06,0
-1.01E-06,-8.11E-10,-5.35E-08,-2.11E-09,-1.14E-06,5.28E-09,,,-1.01E-06,0
-1.01E-06,-8.08E-10,-5.45E-08,-2.26E-09,-1.14E-06,5.01E-09,,,-1.01E-06,0
-1.00E-06,-1.04E-09,-5.55E-08,-1.99E-09,-1.14E-06,4.70E-09,,,-1.00E-06,0
-1.00E-06,-1.16E-09,-5.65E-08,-1.67E-09,-1.14E-06,4.75E-09,,,-1.00E-06,0
-1.00E-06,-1.00E-09,-5.75E-08,-1.70E-09,-1.14E-06,4.77E-09,,,-1.00E-06,0
-1.00E-06,-8.36E-10,-5.85E-08,-1.52E-09,-1.14E-06,4.62E-09,,,-1.00E-06,0
-1.00E-06,-1.11E-09,-5.95E-08,-1.39E-09,-1.14E-06,4.46E-09,,,-1.00E-06,0
-9.99E-07,-1.29E-09,-6.05E-08,-1.42E-09,-1.14E-06,4.30E-09,,,-9.99E-07,0
-9.98E-07,-1.28E-09,-6.15E-08,-1.67E-09,-1.14E-06,4.43E-09,,,-9.98E-07,0
-9.97E-07,-1.41E-09,-6.25E-08,-2.04E-09,-1.14E-06,4.48E-09,,,-9.97E-07,0
-9.96E-07,-1.46E-09,-6.35E-08,-2.05E-09,-1.14E-06,4.59E-09,,,-9.96E-07,0
-9.95E-07,-1.68E-09,-6.45E-08,-1.87E-09,-1.14E-06,4.68E-09,,,-9.95E-07,0
-9.94E-07,-1.75E-09,-6.55E-08,-1.55E-09,-1.14E-06,4.63E-09,,,-9.94E-07,0
-9.93E-07,-1.51E-09,-6.65E-08,-1.60E-09,-1.14E-06,4.91E-09,,,-9.93E-07,0
-9.92E-07,-8.85E-10,-6.75E-08,-1.79E-09,-1.14E-06,5.24E-09,,,-9.92E-07,0
-9.90E-07,-6.27E-10,-6.85E-08,-1.45E-09,-1.14E-06,5.47E-09,,,-9.90E-07,0
-9.89E-07,-4.86E-10,-6.96E-08,-1.32E-09,-1.14E-06,5.41E-09,,,-9.89E-07,0
-9.88E-07,-3.98E-10,-7.06E-08,-1.17E-09,-1.14E-06,5.59E-09,,,-9.88E-07,0
-9.87E-07,-3.18E-10,-7.16E-08,-9.49E-10,-1.14E-06,5.86E-09,,,-9.87E-07,0
-9.86E-07,-5.21E-10,-7.26E-08,-8.49E-10,-1.14E-06,5.95E-09,,,-9.86E-07,0
-9.85E-07,-8.63E-10,-7.36E-08,-8.84E-10,-1.14E-06,6.07E-09,,,-9.85E-07,0
-9.84E-07,-5.72E-10,-7.46E-08,-1.05E-09,-1.14E-06,6.21E-09,,,-9.84E-07,0
-9.83E-07,-5.15E-10,-7.56E-08,-8.72E-10,-1.14E-06,6.19E-09,,,-9.83E-07,0
-9.82E-07,-6.61E-10,-7.66E-08,-6.47E-10,-1.14E-06,6.15E-09,,,-9.82E-07,0
-9.81E-07,-5.57E-10,-7.76E-08,-8.27E-10,-1.14E-06,6.01E-09,,,-9.81E-07,0
-9.80E-07,-2.29E-10,-7.86E-08,-7.31E-10,-1.14E-06,5.94E-09,,,-9.80E-07,0
-9.79E-07,-3.65E-10,-7.97E-08,-6.40E-10,-1.14E-06,5.87E-09,,,-9.79E-07,0
-9.78E-07,-5.30E-10,-8.07E-08,-5.52E-10,-1.14E-06,5.89E-09,,,-9.78E-07,0
-9.77E-07,-4.86E-10,-8.17E-08,-3.04E-10,-1.14E-06,5.47E-09,,,-9.77E-07,0
-9.76E-07,-3.62E-10,-8.27E-08,-2.33E-10,-1.14E-06,5.31E-09,,,-9.76E-07,0
-9.75E-07,-2.83E-10,-8.37E-08,-2.70E-10,-1.14E-06,5.11E-09,,,-9.75E-07,0
-9.74E-07,-3.36E-10,-8.47E-08,-6.23E-10,-1.14E-06,5.14E-09,,,-9.74E-07,0
-9.73E-07,-3.33E-10,-8.57E-08,-5.84E-10,-1.14E-06,5.06E-09,,,-9.73E-07,0
-9.72E-07,-3.98E-10,-8.67E-08,-4.68E-10,-1.14E-06,5.13E-09,,,-9.72E-07,0
-9.71E-07,-5.53E-10,-8.78E-08,-3.42E-10,-1.14E-06,5.07E-09,,,-9.71E-07,0
-9.69E-07,-4.65E-10,-8.88E-08,-4.64E-10,-1.14E-06,4.70E-09,,,-9.69E-07,0
-9.68E-07,-4.07E-10,-8.98E-08,-4.35E-10,-1.14E-06,4.62E-09,,,-9.68E-07,0
-9.67E-07,-1.19E-10,-9.08E-08,-2.64E-10,-1.14E-06,4.27E-09,,,-9.67E-07,0
-9.66E-07,-1.62E-10,-9.18E-08,-2.28E-10,-1.14E-06,4.36E-09,,,-9.66E-07,0
